"Colaborador","Frecuencia"
"Múnera, José U.",2
"Muñoz Cano, J.",2
"Muñoz S., Isaías",2
"Murillo, Emilio",2
"Nauts, Carlos",2
"Nouvrac, L. Abella de",2
"Ossorio, Miguel",2
"Pardo y Vergara, José",2
"París, Gonzalo",2
"Pasos, Isidoro",2
"Peláez, Aureliano",2
"Pérez Monosalva, Santiago",2
"Pérez, Gregorio",2
"Pierre Rolland, Maurice",2
"Pineda, Luis Felipe",2
"Pizano, Roberto",2
"Ramírez G., Enrique",2
"Restrepo, Santiago",2
"Revilla, Esaú",2
"Rodríguez O., Eugenio",2
"Rodríguez, Carlos E.",2
"Romero, J. Rubén",2
"Rosales, Carlos N.",2
"Salamanca, Alfonso",2
"Salazar G., Esther",2
"Sánchez, Francisco",2
"Santos, Eduardo",2
"Soto, Aquilino",2
"Toro Idárraga, Bernardo",2
"Tranquilo, Javier",2
"Uribe, Francisco Antonio",2
"Vaca, Vicente",2
"Valenzuela Moreno, Antonio",2
"Vallejo, Joaquín",2
"Vélez, Fernando",2
"Vélez, Marceliano",2
"Villa, Ángela",2
"von Maiz, Paul",2
"White, Gabriela",2
"Zaavedra Zárate, César",2
"Zuluaga y G., Roberto",2
"A.",1
"A. G.",1
"A. Z.",1
"Acab Ibisabizurri, Miguel",1
"Acevedo, Graciliano",1
"Adiante, Tomás",1
"Agudelo Mejía, Rosa",1
"Agudelo, Rafael",1
"Aimayaga, Juan de",1
"Alba, E.",1
"Álvarez C., Manuel J.",1
"Álvarez, Bernardo",1
"Alzate B., Delio",1
"Americus",1
"Ancizar, Roberto",1
"Ángel, Juan E.",1
"Antoine",1
"Anzízar, Roberto",1
"Aponte, E.",1
"Arango Lalinde, Rafael",1
"Arango Ochoa, Eduardo",1
"Arango, Jorge Luis",1
"Arango, Olga",1
"Archer, William",1
"Arcila, Anibal",1
"Argimiero Peña, Manuel",1
"Armas, Rafael de",1
"Ateneo de Buenos Aires",1
"Attías, Maximiliano",1
"Aurora",1
"Avalos Torrens, Pedro",1
"Axum, Luis de",1
"Barco, Jesús María",1
