NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Lectura Amena,31,"Botero Guerra, Camilo",Creador,Don Juan del Martillo,Colombia,Casos y cosas de Medellín. Rehabilitación,3,1 de noviembre de 1904,1904-11-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,6.3,47-55
Lectura Amena,32,"Tejada Córdoba, Benjamín",Creador,NA,Colombia,Canto a la juventud,3,1 de noviembre de 1904,1904-11-01,No,NA,Español,NA,Poesía,NA,NA,NA,2.8,55-58
Lectura Amena,33,"Montoya, Antonio José",Creador,NA,Colombia,Renacimiento,3,1 de noviembre de 1904,1904-11-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2.3,58-60
Lectura Amena,34,"Marín, Abel",Creador,NA,Colombia,En el lago,3,1 de noviembre de 1904,1904-11-01,No,NA,Español,NA,Poesía,NA,Lectura Amena,NA,4,60-61
Lectura Amena,35,Anónimo,Creador,NA,NA,De todo,3,1 de noviembre de 1904,1904-11-01,No,NA,Español,NA,Prosa No Ficción,De Todo,NA,NA,0.8,61
Lectura Amena,36,Anónimo,Creador,NA,NA,Lectura Amena,4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,NA
Lectura Amena,37,"Robledo, Eusebio",Creador,NA,Colombia,C'est la vie...,4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Prosa No Ficción,NA,Lectura Amena,NA,2,63-64
Lectura Amena,38,"Velásquez García, José",Creador,Julio Vives Guerra,Colombia,En un abánico,4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,65
Lectura Amena,39,"Guerrini, Olindo",Creador,NA,Italia,...? (De Stechetti),4,15 de noviembre de 1904,1904-11-15,Sí,Anónimo,Español,Italiano,Poesía,NA,NA,NA,0.5,65
Lectura Amena,40,"Tejada Córdoba, Benjamín",Creador,NA,Colombia,"Sófocles, Homero y Fidias",4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Prosa No Ficción,NA,Dr. F. A. U. M.,NA,4.5,66-70
Lectura Amena,41,"Gil, Ricardo",Creador,NA,España,Tristitia Rerum,4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Poesía,NA,NA,NA,1.2,70-71
Lectura Amena,42,"Maupassant, Guy de",Creador,NA,Francia,La leyenda del monte San Miguel,4,15 de noviembre de 1904,1904-11-15,Sí,Anónimo,Español,Francés,Prosa Ficción,NA,NA,NA,3.3,71-74
Lectura Amena,43,"Restrepo Restrepo, Antonio María",Creador,AB. Farina,Colombia,Elegía,4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Poesía,NA,"Escobar, Jorge",NA,1,75
Lectura Amena,44,"Gómez, Lucas",Creador,NA,NA,El pequeño caiman (*),4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,5.5,76-81
Lectura Amena,45,"Echavarría Vélez, Liborio",Creador,NA,Colombia,Conferencia,4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Prosa No Ficción,Conferencia,NA,NA,1,81-82
Lectura Amena,46,Anónimo,Creador,NA,NA,De todo,4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Prosa No Ficción,De Todo,NA,NA,0.5,82
Lectura Amena,47,Anónimo,Creador,NA,NA,NA,4,15 de noviembre de 1904,1904-11-15,No,NA,Español,NA,Publicidad,NA,NA,NA,2,NA
Lectura Amena,48,Anónimo,Creador,NA,NA,Lectura Amena,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,NA
Lectura Amena,49,Anónimo,Ilustrador,NA,NA,José A. Silva,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
Lectura Amena,50,"Silva, José Asunción",Creador,José A. Silva,Colombia,Nocturno,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,NA,NA,1.5,83-84
Lectura Amena,51,"Soto Borda, Clímaco",Creador,NA,Colombia,Impresiones íntimas,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,3.5,84-87
Lectura Amena,52,"Londoño, Víctor Manuel",Creador,V.M.Londoño,Colombia,A José A. Silva,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,NA,NA,1,88
Lectura Amena,53,"Silva, José Asunción",Creador,NA,Colombia,Suspiros,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,NA,NA,1.5,89-90
Lectura Amena,54,"Valencia, Guillermo",Creador,NA,Colombia,Leyendo a Silva,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,NA,NA,3.5,90-93
Lectura Amena,55,"Silva, José Asunción",Creador,José A. Silva,Colombia,De Sobremesa (Fragmento),5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Prosa Ficción,Fragmento,NA,NA,1.5,94-95
Lectura Amena,56,"Restrepo Restrepo, Antonio María",Creador,AB. Farina,Colombia,Balada de lo irreparable. Parafrástica,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,"Silva, José Asunción",NA,2,95-97
Lectura Amena,57,"Palacio Uribe, Tomás",Creador,NA,NA,Recuerdo,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2.3,97-99
Lectura Amena,58,"Villegas, Aquilino",Creador,NA,Colombia,Balada de lo irreparable,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,"Gómez H, Emilio",NA,1,99-100
Lectura Amena,59,"Silva, José Asunción",Creador,NA,Colombia,El paraguas del padre León,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Prosa No Ficción,Prólogo,"Soto Borda, Clímaco",NA,2,101-102
