geocode,etiqueta,longitud,latitud
540,Nueva Caledonia,165.5312,-21.3948
548,Vanuatu,167.7031,-16.1959
554,Nueva Zelandia,170.4403,-44.0131
558,Nicaragua,-85.0476,12.8404
562,El Níger,9.413,17.4338
566,Nigeria,8.0851,9.5853
570,Niue,-169.8584,-19.0524
574,Isla Norfolk,167.953,-29.034
578,Noruega,11.4948,61.7103
580,Las Islas Marianas del Norte,145.6042,15.7746
581,Las Islas Ultramarinas Menores de los Estados Unidos,-162.4606,6.4102
583,Estados Federados de Micronesia,158.2287,6.8797
584,Las Islas Marshall,168.5277,6.7211
585,Palau,134.5611,7.4841
586,Pakistán,68.8049,29.3982
591,Panamá,-80.1223,8.8084
598,Papua Nueva Guinea,144.2141,-6.5913
600,Paraguay,-58.4232,-23.2139
604,Perú,-71.8526,-13.5597
608,Las Filipinas,122.8671,11.7347
612,Pitcairn,-128.3241,-24.3755
616,Polonia,19.4066,52.1309
620,Portugal,-7.9703,39.6868
624,Guinea Bissau,-14.4508,12.1029
626,Timor-Leste,125.9334,-8.7999
630,Puerto Rico,-66.4716,18.2326
634,Qatar,51.1943,25.2708
642,Rumania,24.9778,45.8361
643,La Federación de Rusia,99.124,61.6334
646,Rwanda,29.9308,-1.9764
652,San Bartolomé,-62.822,17.8973
654,"Santa Elena, Ascensión y Tristán de Acuña",-10.4275,-25.4529
659,San Cristóbal y Nieves,-62.7818,17.3517
660,Anguila,-63.0376,18.2241
662,Santa Lucía,-60.97,13.8898
666,San Pedro y Miquelón,-56.3272,47.0362
670,San Vicente y las Granadinas,-61.1881,13.2531
674,San Marino,12.471,43.9314
678,Santo Tomé y Príncipe,6.5977,0.2355
682,Arabia Saudita,44.5537,24.1338
686,Senegal,-14.4462,14.367
688,Serbia,20.8129,44.0309
690,Seychelles,51.8358,-6.6938
694,Sierra leona,-11.7847,8.5529
702,Singapur,103.8394,1.3262
703,Eslovaquia,19.4741,48.7042
704,Vietnam,107.5701,11.5307
705,Eslovenia,14.8169,46.1277
706,Somalia,46.1155,4.3774
710,Sudáfrica,24.6736,-29.9966
716,Zimbabwe,29.8678,-19.0019
724,España,-3.5521,40.3816
728,Sudán del Sur,30.3267,7.2866
729,El Sudán,29.9584,16.0343
732,Sahara Occidental,-13.1416,24.6678
740,Suriname,-55.9045,4.1428
744,Svalbard y Jan Mayen,13.4842,78.8376
748,Swazilandia,31.5155,-26.5825
752,Suecia,14.4445,60.6418
756,Suiza,8.2129,46.9548
760,República Árabe Siria,38.4987,35.0077
762,Tayikistán,69.4202,38.5046
764,Tailandia,101.0305,15.1496
768,Togo,0.9785,8.548
772,Tokelau,-171.8539,-9.193
776,Tonga,-174.8472,-19.859
780,Trinidad y Tobago,-61.267,10.4364
784,Los Emiratos Árabes Unidos,53.9824,23.4656
788,Túnez,9.5549,33.7421
792,Turquía,35.4709,38.9923
795,Turkmenistán,59.4192,39.1055
796,Las Islas Turcas y Caicos,-71.8562,21.7501
798,Tuvalu,178.6907,-7.477
800,Uganda,32.389,1.2776
804,Ucrania,31.3628,49.0322
807,La ex República Yugoslava de Macedonia,21.6966,41.5981
818,Egipto,29.759,26.5649
826,Reino Unido,-2.1086,53.2786
831,Guernsey,-2.5794,49.456
832,Jersey,-2.1302,49.2236
833,Isla de Man,-4.5444,54.2285
834,República Unida de Tanzania,34.802,-6.2595
840,Estados Unidos,-99.1943,39.537
850,Islas Vírgenes de los Estados Unidos,-64.7971,17.7318
854,Burkina Faso,-1.7352,12.2722
858,Uruguay,-56.0061,-32.8049
860,Uzbekistán,64.3964,41.2698
862,Venezuela,-66.1542,7.1089
876,Wallis y Futuna,-177.1944,-13.8292
882,Samoa,-172.4412,-13.621
887,Yemen,45.2867,15.1859
894,Zambia,27.8238,-14.6349
